content_id,title,url,subscribers,reviews,lectures,level,duration,main_topics
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,611,4,26,Beginner Level,1.0,Business Finance
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,1922,149,15,All Levels,20.0,Business Finance
252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,9015,65,23,All Levels,2.5,Business Finance
1198166,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,661,4,12,All Levels,1.0,Business Finance
920604,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,1077,110,55,Beginner Level,6.0,Business Finance
215728,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,6050,140,17,Beginner Level,1.5,Business Finance
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,3523,46,45,All Levels,4.0,Business Finance
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,56659,4397,16,Beginner Level,1.5,Business Finance
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,1444,101,59,Beginner Level,5.0,Business Finance
317030,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,2900,424,36,Intermediate Level,2.5,Business Finance
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,1437,96,34,Beginner Level,2.5,Business Finance
1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,453,42,33,Intermediate Level,3.0,Business Finance
812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,2437,12,23,All Levels,1.5,Business Finance
407984,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,5057,142,13,Beginner Level,1.0,Business Finance
214046,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,6092,25,29,Beginner Level,1.5,Business Finance
512400,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,4530,13,31,All Levels,1.5,Business Finance
377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,6967,16,34,All Levels,1.0,Business Finance
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,727,11,25,Beginner Level,3.0,Business Finance
945750,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,1560,43,25,All Levels,3.0,Business Finance
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,1047,9,46,All Levels,3.5,Business Finance
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,1045,2,17,Intermediate Level,1.0,Business Finance
402836,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,3050,86,22,Beginner Level,2.0,Business Finance
588764,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,2988,21,43,All Levels,4.5,Business Finance
576946,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,2623,158,20,Beginner Level,1.0,Business Finance
543242,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,1924,351,544,All Levels,46.5,Business Finance
